City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Alta Floresta,BR,70.75,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
384,Buchanan,LR,76.23,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
386,Buin,CL,65.73,clear sky,-33.7333,-70.75,Paihuen
390,Cockburn Town,TC,79.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
391,Nizwa,OM,87.3,few clouds,22.9333,57.5333,Orient Apartments
392,George,ZA,62.15,few clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
396,Ahipara,NZ,61.36,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
399,Mangan,IN,70.25,scattered clouds,27.5167,88.5333,Hotel Mout View
402,Wellsford,NZ,65.89,overcast clouds,-36.2833,174.5167,Sun Valley Motel
403,Takaka,NZ,64.38,scattered clouds,-40.85,172.8,Golden Bay Motels
404,Puerto Ayacucho,VE,73.18,heavy intensity rain,5.6639,-67.6236,Posada Turistica Manapiare
405,Saldanha,ZA,66.25,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
406,Naze,JP,63.52,clear sky,28.3667,129.4833,Shishime Hotel
408,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
409,Sambava,MG,82.72,few clouds,-14.2667,50.1667,Melrose
411,Sibolga,ID,85.32,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
413,Necochea,AR,66.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
418,San Cristobal,VE,65.7,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
421,Rapar,IN,84.15,few clouds,23.5667,70.6333,Dharamshi Bapa’s Home
422,Tecpatan,MX,61.23,scattered clouds,17.1333,-93.3,Casa San Miguel
427,Magdiwang,PH,82.63,overcast clouds,12.491,122.5135,Sanctuary Garden Resort
428,Nguru,NG,77.83,broken clouds,12.8791,10.4526,Government Lodge
429,Swan Hill,AU,74.59,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
430,Mackay,AU,83.68,overcast clouds,-21.15,149.2,International Lodge Motel
431,Inyonga,TZ,83.88,few clouds,-6.7167,32.0667,Eden Rock Lodge
434,Praia Da Vitoria,PT,66.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
437,Villa Del Rosario,CO,69.53,overcast clouds,7.8339,-72.4742,Hotel Villas de San Diego
439,Mae Sai,TH,78.04,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
440,Sola,VU,80.33,overcast clouds,-13.8833,167.55,Leumerus Bungalows
441,Dera Bugti,PK,82.76,clear sky,29.0307,69.151,Nawab Bugti House
444,Meulaboh,ID,83.05,light rain,4.1363,96.1285,Kost Pria
449,Namibe,AO,73.27,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
450,Moerai,PF,73.92,overcast clouds,-22.4333,-151.3333,Le Manotel
454,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
455,Celestun,MX,70.93,clear sky,20.8667,-90.4,Posada Lilia
456,Paratebueno,CO,70.86,overcast clouds,4.3758,-73.2155,Casa Hotel Paratebueno
461,Ponta Delgada,PT,68.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
463,Malanje,AO,67.53,overcast clouds,-9.5402,16.341,Malanje Hotel
464,Rabo De Peixe,PT,66.27,broken clouds,37.8,-25.5833,Quinta das Giestas
465,Neyyattinkara,IN,84.06,moderate rain,8.4,77.0833,P.W.D. Rest House
470,Richards Bay,ZA,71.55,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
471,Mizque,BO,62.76,overcast clouds,-17.941,-65.3402,Hotel Mizque Boutique
473,Iralaya,HN,75.42,overcast clouds,15.0,-83.2333,Iglesia morava renovada
478,Byron Bay,AU,75.15,moderate rain,-28.65,153.6167,Backpackers Inn
480,Pandan,PH,81.45,overcast clouds,14.0453,124.1694,Bonifacio Lodge
481,Haputale,LK,66.79,overcast clouds,6.7681,80.9595,Leisure Mount View Holiday Inn
488,Oussouye,SN,75.34,scattered clouds,12.485,-16.5469,Auberge du Routard
489,Terra Santa,BR,76.84,overcast clouds,-2.1042,-56.4869,Hotel Sarah
490,Guerrero Negro,MX,63.39,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
493,Mansa,IN,81.48,scattered clouds,29.9833,75.3833,STARiHOTEL Mansa
494,Baldeogarh,IN,81.07,few clouds,24.755,79.0681,Chauhan’s villa
495,Lahad Datu,MY,87.75,broken clouds,5.0268,118.327,The 27th House
496,Quang Ngai,VN,73.96,overcast clouds,15.1167,108.8,Central Hotel
498,Paragominas,BR,71.28,overcast clouds,-2.9667,-47.4833,INOVA
499,Matamoros,MX,63.1,clear sky,25.5333,-103.25,Quinta Belem
502,Coffs Harbour,AU,73.67,light rain,-30.3,153.1333,Aquajet Motel
503,Tocopilla,CL,63.01,overcast clouds,-22.092,-70.1979,Hotel Galvarino
504,Antalaha,MG,81.66,few clouds,-14.9003,50.2788,Hotel Vitasoa
512,Trairi,BR,80.8,overcast clouds,-3.2778,-39.2689,janelas do mar
518,Ardakan,IR,61.18,clear sky,32.31,54.0175,Ardakan Hotel
519,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
520,Abong Mbang,CM,73.58,scattered clouds,3.9833,13.1833,Auberge Angle Sur
523,Gorontalo,ID,79.84,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
526,Tura,IN,76.6,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
527,Barahona,DO,75.2,overcast clouds,18.2085,-71.1008,Hotel Caribe
531,Colinas,BR,73.02,overcast clouds,-6.0258,-44.2492,Pousada do Nonatinho
533,Clarence Town,AU,75.15,moderate rain,-32.5833,151.7833,River Downs Cottage
538,Rio De Janeiro,BR,71.91,clear sky,-22.9028,-43.2075,Hotel Málaga
545,Lima,PE,63.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
546,Villa Carlos Paz,AR,70.39,clear sky,-31.4241,-64.4978,Monte Carlo
547,Ciudad Bolivar,VE,76.39,broken clouds,8.1222,-63.5497,Hotel Edi
549,Gurupi,BR,71.53,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
550,Ginda,IN,64.47,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
551,La Libertad,EC,68.72,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
